gis_id,per_sp_rec_pc,esa_mh,jsa,esa_inc,lpb,other_oowb,tot_oowb,n18_24_jsa,n_jsa,per18_24_jsa,san18_24,sanall,per18_24_san,lsoa_name,pop,per_males,per_fem,per_0_19,per_20_64,per_65_plus,ods,asb,burglary,criminaldamage,drugs,other_theft,public_order,robbery,shoplifting,vehicle_crime,total_crime
E01011555,5.97,10,10,25,0,0,35,35,210,16.67,0,0,0,"Birkdale Drive, Turnberrys",1362,48.68,51.32,20.49,60.93,18.57,8.35,22,7,9,3,3,2,0,0,2,48
E01011556,16.07,15,20,40,15,0,75,100,500,20,0,0,0,Sandringhams,1576,46.45,53.55,22.65,61.5,15.87,9.01,25,5,4,1,5,0,1,0,7,50
E01011557,12,25,15,45,0,0,60,85,390,21.79,0,6,0,"Sandhills, Belvederes",1529,46.11,53.89,22.37,56.58,21.06,9.86,7,7,5,0,14,1,1,2,4,42
E01011558,40,55,35,125,35,10,205,330,"1,435",23,9,20,45,"Lingfields, Firtrees",1577,44.96,55.04,28.73,57.26,14.01,38.43,66,10,20,9,6,3,2,0,7,129
E01011559,54.05,55,45,115,10,5,175,280,"1,100",25.45,11,25,44,"Fir Tree Approach, Lingfield",1259,45.99,54.01,28.51,57.35,14.14,50.82,65,12,25,0,27,12,3,62,4,222
E01011560,43.4,100,60,180,20,5,265,550,"2,175",25.29,10,38,26.32,"Tynwalds, Deanswoods",1800,49.67,50.33,25.38,60.78,13.83,48.21,67,18,26,5,12,7,1,0,1,139
E01011561,9.62,5,5,15,0,0,20,20,145,13.79,0,0,0,"Harewood Village, Wike Ridges",1217,48.15,51.85,21.54,60.4,18.08,12.22,29,19,3,2,15,0,1,1,11,86
E01011562,4.71,0,5,20,0,0,25,25,180,13.89,0,0,0,"High Ashes, Wigton Lane",1592,48.93,51.07,22.67,55.15,22.19,5.7,17,10,8,1,13,2,0,21,5,78
E01011563,3.26,5,0,10,0,0,10,30,135,22.22,0,0,0,"Alwoodley Lane, The Fairway",1416,49.01,50.99,19.13,51.2,29.67,8.21,19,8,1,1,3,0,0,0,11,47
E01011564,6.15,0,15,15,0,0,30,30,190,15.79,0,0,0,Alwoodley - The Grove,1501,48.9,51.1,23.79,58.37,17.87,4.31,3,11,4,0,4,0,0,0,2,24
E01011565,9.72,10,5,25,5,5,40,75,225,33.33,0,0,0,"Sandmoor Lane, Primary Parks",1433,48.36,51.64,22.26,56.32,21.43,7.83,5,8,4,0,9,3,0,0,6,36
E01011566,8.93,15,5,25,5,5,40,35,300,11.67,0,0,0,"Plantations, Longwood Cl",1309,47.44,52.56,22.31,60.12,17.58,8.02,15,6,4,0,6,0,0,0,2,33
E01011567,8.77,10,5,25,5,0,35,60,250,24,0,0,0,"Sunningdales, Buckstone",1393,47.45,52.55,25.05,58.43,16.51,6.62,12,14,5,0,2,0,0,0,3,37
E01011568,14.44,5,15,35,0,0,50,105,400,26.25,0,0,0,"Shadwell Lane, Plane Tree ",1831,46.7,53.3,19.34,59.37,21.3,6.48,7,14,2,0,8,0,0,0,2,33
E01011569,12.33,15,5,35,0,5,45,70,450,15.56,5,5,100,Otley Town Centre,1662,50.42,49.58,19.74,63.23,17.02,10.61,67,25,23,6,27,5,2,20,26,214
E01011570,9.28,5,10,15,0,0,25,100,280,35.71,0,0,0,Pool,2284,50.44,49.56,26.1,56.62,17.3,7.8,16,22,3,3,45,0,0,0,14,105
E01011571,21.69,15,15,35,5,0,55,55,230,23.91,0,0,0,"Birdcage Wk, West Chevin Rd",1597,46.71,53.29,19.36,58.87,21.79,11.68,27,12,8,0,9,0,0,0,12,70
E01011572,8.7,20,10,45,5,0,60,50,295,16.95,6,6,100,"Cambridge Drive, Cambridge Way",1763,48.89,51.11,21.4,65.01,13.61,5.46,25,20,9,0,3,0,0,1,8,68
E01011573,12.07,10,10,30,0,0,40,85,390,21.79,0,12,0,"West Buck Lane, Sunnydales",1341,48.7,51.31,24.32,59.35,16.34,12.95,46,11,4,0,8,0,0,0,4,74
E01011574,22.11,15,15,30,0,0,45,55,290,18.97,6,6,100,"Saville Court, Whiteley Cft",1456,47.25,52.75,17.58,53.1,29.33,14.04,25,4,11,1,8,0,0,11,20,83
E01011575,3.8,5,10,5,0,0,15,60,215,27.91,6,6,100,"Old Bramhope, Carlton",1560,49.94,50.06,24.37,56.1,19.56,11.46,,,,,,,,,,
E01011576,5.13,10,5,20,0,0,25,15,110,13.64,0,0,0,"Bramhope, Arthington",1432,48.12,51.89,22.01,52.59,25.43,8.11,9,10,5,1,5,1,0,0,4,37
E01011577,3.16,0,5,5,0,0,10,15,205,7.32,0,0,0,"Creskeld Lane, The Birches",1489,47.82,52.18,22.1,50.1,27.81,5.71,,,,,,,,,,
E01011578,14.71,15,15,30,0,0,45,45,230,19.57,5,5,100,"Glenmere Mount, Sunnybanks",1321,46.63,53.37,19,59.96,21.04,12.2,41,14,2,5,17,0,0,0,16,98
E01011579,13.33,5,5,35,0,0,40,125,385,32.47,0,0,0,"Batter Lane, Canadas",1245,49.56,50.44,26.19,60.57,13.24,12.79,20,11,4,1,0,0,0,0,8,46
E01011580,13.43,0,15,10,5,5,35,60,305,19.67,0,0,0,"Over Lane, Larkfields",1342,47.84,52.16,20.49,57.37,22.13,5.74,12,16,6,1,3,0,0,1,6,48
E01011581,10.59,15,10,35,5,0,50,15,255,5.88,0,0,0,"St David's Rd, Weston Ridge",1469,48.26,51.74,21.72,54.66,23.62,12.03,21,1,5,1,5,4,0,0,2,39
E01011582,36.99,60,20,105,15,10,150,175,760,23.03,7,13,53.85,Weston Estate,1651,47.43,52.57,25.39,54.27,20.36,31.6,55,3,12,5,9,1,1,0,2,90
E01011583,5.97,15,10,25,5,0,40,90,245,36.73,5,5,100,"The Wartons, Prince Henry Rd",1479,47.8,52.2,24.75,57.68,17.58,8.95,22,7,4,4,3,0,1,0,3,49
E01011584,7.46,5,0,15,5,0,20,30,185,16.22,0,0,0,"Wrenbeck Drive, Athelstan Ln",1250,47.2,52.8,24.48,54,21.52,7.36,27,10,7,1,3,3,0,0,5,56
E01011585,28.85,25,20,70,10,5,105,120,865,13.87,5,16,31.25,Westdales / Standales,1435,47.67,52.33,23.77,60.28,15.96,28.52,28,13,7,3,5,1,4,0,15,79
E01011586,17.91,15,5,45,20,0,70,110,470,23.4,6,6,100,"Chatsworths, Dalesides",1494,48.13,51.87,23.89,56.28,19.82,16.92,30,24,5,2,4,4,0,0,13,83
E01011587,16,10,25,35,0,5,65,225,685,32.85,9,9,100,Richardshaw Rd / Thorpe Rd,1663,49.67,50.33,20.57,67.46,11.97,13.04,66,34,35,8,188,7,4,75,58,488
E01011588,14.55,10,10,40,0,0,50,130,460,28.26,5,5,100,Foxholes / Parkwoods,1725,50.26,49.74,25.4,60.82,13.79,12.18,41,30,11,5,11,0,1,1,29,133
E01011589,14.81,10,5,25,0,0,30,80,355,22.54,5,5,100,Carr Road / Victoria Park,1521,48.59,51.41,21.84,62.92,15.25,10.16,15,31,8,0,3,1,0,0,20,79
E01011590,8.22,10,5,35,0,0,40,130,310,41.94,6,6,100,Crowther Avenue / Carr Hills,1540,49.81,50.2,21.56,59.09,19.35,9.96,48,52,6,0,11,1,2,0,26,152
E01011591,12.96,15,5,45,10,0,60,85,530,16.04,5,5,100,Rodley centre,1616,49.51,50.5,14.86,72.89,12.26,13.57,31,20,7,4,4,3,0,0,26,103
E01011592,17.91,20,25,50,0,0,75,80,545,14.68,7,7,100,Priesthorpe Road / Wadlands,1402,45.65,54.35,15.2,65.61,19.18,13.18,27,27,12,1,7,1,0,0,9,90
E01011593,5.71,5,10,25,5,0,40,65,375,17.33,6,6,100,Wesley St / Springbank Ave,1764,49.15,50.85,21.04,63.38,15.58,5.15,25,21,18,1,11,1,1,1,10,95
E01011594,37.5,30,25,80,10,5,120,330,865,38.15,14,26,53.85,"Richmond Road, Fairfields",1455,47.08,52.92,27.77,57.86,14.36,33.78,79,24,19,1,12,2,0,0,5,145
E01011595,12.86,10,25,35,0,5,65,205,645,31.78,11,17,64.71,Rockwoods / Meadow Parks,1804,48.39,51.61,25.12,57.37,17.52,11.12,16,24,10,1,3,1,1,0,25,87
E01011596,11.11,10,20,30,5,0,55,150,415,36.14,5,5,100,Farsley Beck Bottom,1675,48.84,51.16,20.89,66.63,12.48,8.91,70,13,14,3,8,0,0,0,16,125
E01011597,20.93,20,25,40,20,0,85,260,950,27.37,8,14,57.14,"Galloway Lane, Moorland Rd",1507,49.64,50.37,27.74,58.87,13.4,21.12,135,39,28,8,28,4,2,18,55,325
E01011598,16.95,10,5,25,10,0,40,165,480,34.38,7,12,58.33,Mertons / Old Road,1544,46.76,53.24,18.79,67.36,13.86,12.7,80,19,41,6,13,6,0,31,14,217
E01011599,19.67,5,20,30,5,0,55,150,580,25.86,0,7,0,Ederoyd Ave / Hillfoot,1535,47.49,52.51,23.31,59.75,16.94,12.34,35,16,15,5,8,1,0,10,13,104
E01011600,20,10,15,30,0,0,45,180,425,42.35,5,5,100,Valley Road / Chaucer Ave,1519,47.99,52.01,19.95,62.22,17.85,14.28,33,22,16,5,8,5,1,1,15,108
E01011601,26.19,35,30,80,10,0,120,340,"1,095",31.05,20,25,80,Acres Halls / Walmer Grove,1494,48.26,51.74,27.18,60.9,11.92,32.02,41,18,20,1,9,1,0,0,14,106
E01011602,26.74,25,20,70,15,0,105,105,555,18.92,0,5,0,Pudsey Queen's Park,1525,46.56,53.44,18.1,55.22,26.7,17.66,77,34,30,0,17,2,0,11,22,193
E01011603,13.11,20,15,35,5,0,55,105,400,26.25,0,6,0,Fulneck,1516,47.96,52.05,23.18,58.97,17.88,15.92,53,17,12,1,5,0,0,0,11,100
E01011604,21.15,10,10,20,10,0,40,100,390,25.64,0,6,0,Radcliffe Lane / New St,1334,47,53,22.94,62.08,15,13.28,53,15,22,1,6,2,0,0,19,118
E01011605,10.26,10,10,35,0,0,45,110,375,29.33,8,8,100,Windmill Hill,1458,48.83,51.17,19.28,59.74,21,9.86,25,16,9,0,6,0,0,0,11,69
E01011606,14.52,20,25,50,20,5,100,200,715,27.97,12,12,100,Tyersals,1682,47.8,52.2,28.78,53.93,17.3,25.23,91,19,27,5,11,4,2,0,17,182
E01011607,21.43,20,15,55,5,5,80,150,595,25.21,6,11,54.55,Lumby Lane / Littlemoors,1588,47.48,52.52,25.39,62.54,12.1,14.53,34,14,14,3,8,2,0,0,9,85
E01011608,24.07,25,25,50,25,5,105,205,790,25.95,0,5,0,Swinnow Rd / Park Springs,1384,48.56,51.45,26.09,58.39,15.54,31.89,49,19,20,4,9,1,0,0,14,119
E01011609,25,50,30,95,15,10,150,225,"1,160",19.4,5,5,100,Swinnows / Rycroft Ave,1453,49.48,50.52,24.71,61.67,13.63,29.79,79,14,14,4,3,1,0,0,11,130
E01011610,13.56,15,15,40,5,0,60,150,420,35.71,5,10,50,Pudsey Priestleys,1418,47.53,52.47,21.29,61.43,17.29,17.82,19,10,12,4,15,3,0,0,12,78
E01011611,33.33,45,50,80,20,10,160,415,"1,460",28.42,16,16,100,"Harley Road, Swinnow Lane",1364,47.21,52.79,27.05,56.83,16.14,44.6,107,17,20,4,11,4,2,25,8,199
E01011612,34.07,20,20,70,0,10,100,205,675,30.37,7,7,100,Pudsey Centre,1302,42.17,57.83,14.28,51.23,34.49,32.47,182,27,39,4,33,4,4,34,29,369
E01011613,20,20,30,40,30,5,105,335,"1,060",31.6,15,29,51.72,"Owlcotes Road, Waterloo Road",1303,47.2,52.8,28.03,59.63,12.36,22.97,59,31,25,1,16,6,1,0,21,166
E01011614,17.65,10,25,40,5,0,70,155,580,26.72,5,5,100,Pudsey Crimbles,1811,48.37,51.63,21.04,63.77,15.18,15.41,63,25,31,1,16,4,0,0,25,168
E01011615,20.37,20,40,50,25,0,115,475,"1,200",39.58,10,27,37.04,"Dawlishes, Skeltons",1529,49.58,50.43,25.64,59.78,14.58,28.75,22,21,12,7,10,3,1,0,28,113
E01011616,25.86,50,65,125,30,10,230,550,"1,935",28.42,31,64,48.44,"Carden Ave, Oak Road",1431,46.05,53.95,26.07,55.77,18.17,48.42,80,34,34,3,19,4,3,69,5,265
E01011617,42.22,55,50,110,40,0,200,320,"1,410",22.7,15,46,32.61,Rookwoods,1608,46.52,53.48,30.17,57.59,12.26,49.28,48,24,27,3,13,7,3,2,15,143
E01011618,22.86,40,70,75,65,10,220,360,"1,730",20.81,23,66,34.85,"Dawlish Ave, Vinerys",1581,46.93,53.07,27.89,62.43,9.69,33.32,68,18,33,8,18,5,5,4,27,198
E01011619,54.84,55,75,135,20,25,255,505,"2,560",19.73,21,64,32.81,"East St, Upper Accommodation",3905,53.47,46.53,17.08,75.07,7.86,39.54,,,,,,,,,,
E01011620,25,35,45,95,35,5,180,475,"1,650",28.79,13,44,29.55,"Halton Moor, Ullswater Cres",1314,46.8,53.2,34.32,54.11,11.57,50.99,47,24,31,4,11,2,0,0,14,136
E01011621,29.73,40,45,105,35,5,190,380,"1,430",26.57,17,31,54.84,"Ings Road, Nevilles",1486,46.7,53.3,31.5,57,11.5,51.64,88,50,46,15,42,4,1,2,70,329
E01011622,50,60,80,135,65,5,285,630,"2,685",23.46,23,72,31.94,"Neville Road, Wykebecks",1635,47.83,52.17,35.29,57.31,7.4,66.91,86,16,25,8,28,3,3,9,7,197
E01011623,37.04,60,120,125,40,10,295,930,"3,040",30.59,39,98,39.8,"East Park Drive, Glensdales",1517,49.7,50.3,31.46,60.52,8.05,52.98,66,19,32,8,23,7,8,6,15,201
E01011624,58.14,50,105,140,65,10,320,740,"2,790",26.52,24,76,31.58,"Halton Moor, Kendal Drive",1823,47.94,52.06,36.93,52.34,10.75,67.32,90,16,42,6,10,6,2,0,15,193
E01011625,28.13,65,100,130,65,5,300,740,"2,885",25.65,31,80,38.75,"St Hildas, Copperfields",1472,51.29,48.71,27.11,64.13,8.77,44.53,71,19,23,12,25,7,1,2,13,181
E01011626,51.16,85,80,160,60,20,320,685,"2,690",25.46,23,90,25.56,"Cross Green Ln, Easy Rd",1782,53.2,46.8,23.01,67,9.99,69.55,85,21,25,3,29,6,2,0,31,210
E01011627,19.35,40,30,70,15,0,115,195,790,24.68,9,20,45,"Sandybanks, Springhead Rd",1417,47.57,52.44,25.68,55.33,18.98,26.06,106,25,32,3,17,9,1,23,15,237
E01011628,8.75,5,10,15,5,5,35,45,230,19.57,0,0,0,"Styebank Lane, Sandy Acres",1328,47.44,52.56,19.81,53.4,26.81,11.56,17,6,6,2,4,1,0,0,10,49
E01011629,22.81,30,30,55,10,0,95,110,680,16.18,8,16,50,"Abraham Lane, Churchfield Rd",1302,47.54,52.46,21.27,60.06,18.67,22.07,22,16,6,1,5,0,0,0,5,57
E01011630,12.7,15,10,50,5,0,65,130,520,25,7,7,100,Rothwell Haighsides,2088,47.56,52.44,22.99,64.9,12.12,12.91,25,20,7,2,4,0,0,0,12,72
E01011631,16.18,30,25,60,20,0,105,210,755,27.81,10,10,100,"North Lane, Holmsfield Ln",1283,48.32,51.68,22.91,52.38,24.72,24.81,,,,,,,,,,
E01011632,33.33,35,25,80,30,10,145,415,"1,125",36.89,16,22,72.73,Wood Lane estate,1335,45.32,54.68,27.72,55.06,17.23,38.61,65,8,14,5,9,3,1,0,5,116
E01011633,16.44,20,15,50,0,0,65,45,325,13.85,0,0,0,"Marsh St, Carlton Ln",1472,48.64,51.36,20.45,59.71,19.85,12.03,50,13,11,1,13,2,1,8,8,109
E01011634,15.28,30,30,55,10,5,100,245,835,29.34,8,18,44.44,Carlton,1499,48.9,51.1,23.48,55.84,20.67,23.48,34,17,17,3,7,0,3,1,9,92
E01011635,16.42,20,10,45,0,0,55,80,315,25.4,5,5,100,Oulton,1547,48.09,51.91,20.95,58.58,20.5,14.24,41,3,16,6,43,1,3,0,15,131
E01011636,12.9,25,10,60,0,0,70,155,405,38.27,6,12,50,"Royds Lane, Swithens St",1625,47.14,52.86,19.75,54.41,25.84,15.75,82,22,9,3,29,2,1,0,12,160
E01011637,11.32,25,15,60,0,0,75,115,460,25,9,9,100,Woodlesford,1768,49.77,50.23,25.53,63.12,11.36,11.97,60,15,18,3,8,0,4,3,17,131
E01011638,10.45,5,10,30,15,0,55,60,275,21.82,0,0,0,"Oulton Ln, Church Street Dr",1487,50.71,49.29,24.48,55.35,20.18,11.01,35,12,7,2,6,0,1,0,8,71
E01011639,21.54,30,20,85,15,10,130,235,955,24.61,12,29,41.38,"Home Lea, Spibey Lane",1523,46.36,53.64,26.39,55.81,17.81,30.84,64,13,21,2,7,3,1,0,12,127
E01011640,10.77,15,5,45,10,0,60,95,325,29.23,5,5,100,"Holmsley Lane, Pymont Dr",1576,47.97,52.03,24.95,58.06,17.01,11.49,,,,,,,,,,
E01011641,6.12,10,10,45,0,0,55,90,290,31.03,10,10,100,"Gledhow Woods, Jackson Ave",1522,48.62,51.38,26.29,60.19,13.54,8.43,12,43,10,2,3,3,0,0,25,99
E01011642,15.79,10,15,35,0,0,50,130,395,32.91,12,12,100,"Glehow Lane, Gledhow",1326,48.72,51.28,27.08,59.13,13.81,12.21,33,40,7,2,10,0,4,0,20,121
E01011643,14.81,25,10,40,5,0,55,90,355,25.35,6,6,100,"Lady Wood, North Lane",1392,46.91,53.09,18.26,54.97,26.8,13.48,20,40,3,8,6,0,0,0,14,92
E01011644,22.41,25,30,55,5,0,90,210,825,25.45,5,17,29.41,"Asket Hill, Elmete Ave",1249,46.76,53.24,19.92,54.77,25.3,23.93,36,21,23,6,12,1,1,0,9,111
E01011645,20.45,15,5,30,5,0,40,140,495,28.28,8,16,50,"Fitzroy Drive, Oakwell",1472,46.06,53.94,24.65,61.75,13.6,15.41,66,33,11,7,10,3,2,54,23,218
E01011646,16.67,20,20,30,5,0,55,80,375,21.33,8,14,57.14,Montagu Place,1666,48.86,51.14,27.42,58.1,14.46,14.06,41,42,15,4,9,0,2,1,6,122
E01011647,32.35,30,35,60,5,0,100,295,910,32.42,14,42,33.33,"Gipton Wood, Upland Rd",1716,49.24,50.76,33.57,56.52,9.92,26.25,61,32,20,22,74,7,5,86,26,362
E01011648,20,15,15,45,0,5,65,240,935,25.67,8,16,50,"Montagu Cres, Gipton Wood Rd",1744,49.31,50.69,32.35,54.25,13.42,17.11,15,27,6,1,2,1,1,1,10,65
E01011649,2.44,0,5,10,0,0,15,20,125,16,0,0,0,Shadwell,1466,49.11,50.89,20.82,56.01,23.19,5.16,13,26,5,0,7,2,0,0,12,66
E01011650,12.9,15,10,30,10,0,50,60,245,24.49,7,13,53.85,Roundhay Park Lane,1443,46.71,53.29,22.05,60.29,17.67,12.71,50,27,9,3,12,2,2,5,13,126
E01011651,24.44,25,25,50,0,5,80,105,500,21,0,0,0,"Birchwood Hill, West Park",1446,49.17,50.83,24.76,63.63,11.63,14.73,12,16,6,1,6,3,0,0,12,57
E01011652,14.63,15,15,50,0,0,65,120,395,30.38,6,6,100,"Kingswood, Norton Rd",1331,49.81,50.19,23.6,64.54,11.88,11.12,14,47,10,3,7,1,0,26,28,139
E01011653,11.63,20,25,25,0,0,50,110,505,21.78,0,7,0,"Romans, West park Rd",1352,49.04,50.96,19.6,65.61,14.79,9.82,23,21,6,1,27,6,2,77,21,187
E01011654,4.76,10,5,20,0,0,25,95,240,39.58,0,0,0,"Devonshire Cres, North Park",1434,49.79,50.21,28.81,58.02,13.18,5.95,19,48,13,0,3,0,2,0,22,110
E01011655,11.11,5,5,25,0,0,30,15,275,5.45,0,0,0,"Park Cres, The Avenue",1396,47.99,52.01,17.55,57.24,25.22,9.43,43,23,10,10,14,2,0,0,25,131
E01011656,28.13,55,60,115,25,5,205,605,"1,705",35.48,33,62,53.23,Boggart Hill Drive,1490,48.46,51.54,33.1,58.12,8.8,45.33,88,33,21,9,12,3,2,1,10,183
E01011657,37.14,55,40,125,25,5,195,500,"1,855",26.95,36,72,50,"Ramsheads, Limewoods",1307,46.67,53.33,26.48,62.05,11.49,50.44,90,29,31,5,33,6,0,1,26,224
E01011658,45.1,65,70,140,40,10,260,680,"2,550",26.67,24,66,36.36,Boggart Hill,1344,45.69,54.32,30.59,50.38,19.06,56.24,75,30,37,18,12,0,0,0,8,189
E01011659,41.3,65,55,160,25,5,245,545,"1,920",28.39,30,46,65.22,"Kentmere Ave, North Parkway",1373,48.36,51.64,24.91,60.51,14.57,55.39,80,23,44,10,20,4,0,0,10,198
E01011660,41.46,50,40,110,25,20,195,545,"1,445",37.72,34,62,54.84,"Kentmere App, Rosgill Dr",1359,48.49,51.51,28.48,54.75,16.78,55.5,103,24,31,7,11,5,2,0,6,197
E01011661,48.31,70,75,140,10,10,235,570,"2,080",27.4,21,68,30.88,"Eastdeans, Seacroft Cres",1598,45.93,54.07,20.33,52.69,26.97,60.12,127,35,49,7,94,10,4,176,12,536
E01011662,58.82,60,70,140,40,0,250,585,"2,505",23.35,36,83,43.37,"Foundry Mill Terr, Brooklands",1189,49.03,50.97,35.4,58.21,6.38,72.03,104,19,38,5,12,7,2,0,7,201
E01011663,53.33,45,40,100,45,5,190,630,"1,795",35.1,29,78,37.18,"Tarnside Dr, Foundry Mill St",1256,45.54,54.46,40.91,53.66,5.42,67.84,109,16,87,3,25,5,3,0,9,259
E01011664,37.84,35,35,105,10,0,150,360,"1,125",32,16,42,38.1,"Redmires, South Parkway",1110,45.14,54.87,28.46,53.44,18.11,55.03,82,15,31,6,15,1,0,32,7,192
E01011665,25,50,45,115,15,5,180,390,"1,575",24.76,9,37,24.32,"Inglewood Dr, Crossgates Ave",1386,50.22,49.78,24.82,61.04,14.15,38.65,79,32,33,4,24,6,1,36,11,235
E01011666,12.7,20,15,45,10,5,75,220,560,39.29,5,5,100,"Hawkhills, Bryan Cres",1490,48.86,51.14,24.42,59.86,15.7,15.64,45,27,16,1,15,2,0,3,14,126
E01011667,68.18,55,70,110,80,10,270,680,"2,385",28.51,27,63,42.86,Foundry Mill Drive,1491,45.27,54.73,45.14,48.56,6.3,73.42,100,16,55,11,22,11,1,0,13,242
E01011668,57.14,35,65,50,10,15,140,435,"1,430",30.42,9,28,32.14,"Cliff Mount, Delph Lane",1609,51.03,48.98,13.92,84.15,1.93,28.24,47,51,21,9,21,2,3,1,17,180
E01011669,42.86,40,45,60,20,5,130,440,"1,355",32.47,11,22,50,Sugarwell Hill,1475,52.88,47.12,25.77,72.28,1.98,21,59,28,21,14,29,0,2,1,28,190
E01011670,54.76,75,70,145,40,15,270,460,"2,135",21.55,28,57,49.12,Woodhouse St. Melville Rd,2634,49.43,50.57,26.76,64.93,8.32,35.5,95,23,51,12,19,4,6,4,11,230
E01011671,53.57,65,65,120,35,5,225,490,"2,050",23.9,29,63,46.03,"Cambridge Road, Servias",1535,46.12,53.88,31.6,59.42,8.99,47.74,65,35,36,15,15,3,4,3,29,213
E01011672,50,50,35,100,10,0,145,170,885,19.21,10,15,66.67,"St Marks Road, Raglan Road",1132,50.97,49.03,28.1,66.52,5.39,29.74,,,,,,,,,,
E01011673,77.78,65,120,115,40,10,285,735,"3,855",19.07,33,126,26.19,"Bayswaters, Gledhows",1691,51.39,48.61,29.5,65.29,5.21,47.16,77,32,41,14,17,3,5,3,29,233
E01011674,100,10,10,15,0,0,25,135,355,38.03,8,14,57.14,"Springfield Mt, University Rd",1892,47.67,52.33,41.46,58.25,0.32,15.84,,,,,,,,,,
E01011675,57.58,115,200,215,50,30,495,"1,080","5,640",19.15,40,139,28.78,Lincoln Green,2701,57.39,42.61,21.19,72.45,6.38,64.24,,,,,,,,,,
E01011676,57.14,40,30,55,15,10,110,280,"1,135",24.67,14,33,42.42,"Woodhouse Ln, Blackman Ln",2398,47.58,52.42,29.19,69.82,1,17.02,,,,,,,,,,
E01011677,52.63,60,115,160,15,15,305,510,"3,350",15.22,27,96,28.13,"Shakespeares, Bexleys",1526,51.77,48.23,24.07,63.11,12.84,48.51,130,21,47,17,127,27,7,14,51,495
E01011678,50,50,35,65,10,0,110,165,950,17.37,8,15,53.33,"Burlington St, Park Lane",4156,44.71,55.29,43.22,54.38,2.41,22.26,127,53,27,13,49,11,5,10,98,429
E01011679,60.47,95,150,175,50,20,395,720,"4,595",15.67,24,102,23.53,"Little London, Lovell Park",3093,58.29,41.71,16.1,77.56,6.34,40.95,,,,,,,,,,
E01011680,36.36,35,30,55,10,0,95,175,905,19.34,8,21,38.1,"St Johns Rd, Clarence Rd",1493,52.78,47.22,13.13,84.05,2.82,24.44,,,,,,,,,,
E01011681,50,70,45,130,30,5,210,390,"1,805",21.61,16,39,41.03,"Westfield Rd, Woodsley Rd",1734,51.1,48.9,20.47,75.09,4.44,37.17,120,36,27,18,27,11,6,7,60,337
E01011682,0,0,0,0,0,0,0,0,15,0,0,0,0,Boddington Hall,1395,45.52,54.48,65.46,32.34,2.23,11.81,,,,,,,,,,
E01011683,2.44,5,5,15,0,0,20,5,120,4.17,0,0,0,Weetwood Lane,1296,44.21,55.79,37.65,48.78,13.59,13.81,,,,,,,,,,
E01011684,12.07,25,20,55,5,0,80,145,530,27.36,9,14,64.29,"Parkstone Grove, Spen Lane",1548,48.32,51.68,23.65,60.47,15.89,12.42,22,24,20,3,8,0,3,12,4,98
E01011685,8.16,15,5,30,0,5,40,105,360,29.17,5,5,100,"Weetwood, Kepstorn Road",2153,52.07,47.93,27.18,63.68,9.16,10.89,28,15,5,2,23,1,1,0,13,98
E01011686,43.1,80,55,135,20,10,220,350,"1,520",23.03,17,44,38.64,"Fillingfir Drive, Latchmer",1545,48.74,51.26,21.89,58.64,19.49,42.29,94,37,41,7,30,9,0,1,10,232
E01011687,14.29,15,20,35,0,5,60,110,445,24.72,0,0,0,"West Park, Moor Grange Dr",1488,50.13,49.87,22.39,61.96,15.66,9.96,23,31,11,11,5,0,2,0,7,95
E01011688,13.89,25,25,60,10,0,95,200,795,25.16,11,16,68.75,"Stainbeck Rd, Stonegate Ln",1488,48.32,51.68,24.8,66,9.21,18.68,26,25,21,5,9,0,0,0,13,105
E01011689,23.94,30,25,55,0,5,85,70,450,15.56,0,0,0,"Church Lane, Parksides",1552,47.04,52.96,18.95,59.28,21.78,18.67,18,22,6,2,11,0,1,12,5,78
E01011690,6.78,10,10,15,0,0,25,100,385,25.97,0,7,0,"Drummonds, Hollin Hill Ln",1356,49.56,50.44,15.27,66.22,18.52,10.51,19,19,9,4,49,1,1,2,14,123
E01011691,48.84,50,60,95,15,5,175,450,"1,550",29.03,16,30,53.33,"Church Ave, Stainbeck Ave",1527,46.5,53.5,27.58,59.41,13.02,36.25,98,37,26,2,22,5,1,9,10,214
E01011692,10,10,20,30,0,0,50,130,500,26,6,6,100,"Hollin Drive, Moor Parks,",1404,51.92,48.08,17.54,70.52,11.96,12.05,24,38,9,4,10,1,0,0,35,127
E01011693,19.23,20,30,40,10,5,85,145,920,15.76,6,17,35.29,"Grove Lane, Highburys",1521,51.22,48.78,10.06,82.71,7.23,18.24,37,37,11,4,11,2,4,56,22,193
E01011694,10.53,15,15,20,10,0,45,380,805,47.2,11,18,61.11,"Becketts Parks, St Chads",1804,49.72,50.28,17.8,74.05,8.14,9.75,24,37,12,2,8,1,4,0,24,115
E01011695,40.35,55,45,110,30,10,195,330,"1,600",20.63,14,37,37.84,Ivesons,1590,47.93,52.08,27.74,55.72,16.54,42.06,60,20,26,1,15,4,5,0,8,144
E01011696,4.17,5,10,25,0,0,35,85,190,44.74,0,0,0,"Rigton Hill, Collingham",1498,48.4,51.6,21.09,50.21,28.72,6.98,20,15,6,2,9,0,0,1,2,58
E01011697,10.94,10,0,35,5,0,40,40,225,17.78,0,0,0,"Thorp Arch, Walton",2091,68.48,31.52,13.63,74.65,11.71,15.58,41,36,13,16,11,1,0,1,13,159
